time,seconds_elapsed,AccelerationZ,AccelerationY,AccelerationX,GyroscopeZ,GyroscopeY,GyroscopeX,Label
1.73e+18,4.388354248,-0.477518582,0.336841845,-0.449206497,-0.270263553,-0.04466892,0.202058837,stretching
1.73e+18,4.398304932,-0.1733217,0.500729508,-0.455857443,-0.287800461,-0.350379288,0.172071636,stretching
1.73e+18,4.408256104,-0.226775204,0.912317089,-0.047777582,-0.245616406,-0.558427453,0.166882142,stretching
1.73e+18,4.418207275,-0.565635403,1.330005326,0.383185224,-0.16701293,-0.707107484,0.191782698,stretching
1.73e+18,4.428158203,-0.714338356,1.746544977,0.764064364,-0.10736803,-0.716030061,0.236654118,stretching
1.73e+18,4.438108154,-1.003830129,1.74875973,0.660787091,-0.092658058,-0.616735458,0.282287389,stretching
1.73e+18,4.448059082,-1.000786085,1.221435645,0.386637484,-0.123765446,-0.495551944,0.324675024,stretching
1.73e+18,4.45801001,-0.780823922,0.288978854,0.186506285,-0.171729505,-0.422857761,0.351368159,stretching
1.73e+18,4.467960938,-0.517520484,-0.548512419,0.184237683,-0.201692879,-0.391197205,0.350891709,stretching
1.73e+18,4.477912109,-0.339409065,-0.917598245,0.296850848,-0.209414974,-0.381060928,0.324914426,stretching
1.73e+18,4.487862305,-0.326426249,-0.902205445,0.38121955,-0.196550027,-0.381814629,0.281114519,stretching
1.73e+18,4.497812988,-0.362856868,-0.689803634,0.486216852,-0.185763434,-0.383432209,0.22542277,stretching
1.73e+18,4.50776416,-0.287186126,-0.453744469,0.500570956,-0.182094201,-0.353445739,0.174788073,stretching
1.73e+18,4.517715088,-0.029044747,-0.405511476,0.514918959,-0.173421353,-0.279549658,0.146029666,stretching
1.73e+18,4.527666016,0.187889301,-0.632728579,0.630326194,-0.149317682,-0.178702623,0.140780568,stretching
1.73e+18,4.537615967,0.197960028,-1.091792782,0.702859954,-0.10464821,-0.087135158,0.140707865,stretching
1.73e+18,4.547567383,0.280895793,-1.509150179,0.568895683,-0.019949298,-0.007033684,0.100181207,stretching
1.73e+18,4.557518066,0.433414798,-1.56266082,0.414171168,0.10389968,0.074220695,0.007135417,stretching
1.73e+18,4.567469238,0.465913338,-1.255527885,0.220614891,0.248232499,0.18731834,-0.134895429,stretching
1.73e+18,4.577419922,0.460736812,-0.78525489,-0.077784666,0.361051172,0.330847293,-0.296176463,stretching
1.73e+18,4.587370117,0.425271239,-0.370545962,-0.522145659,0.452860743,0.409795374,-0.414596111,stretching
1.73e+18,4.597321045,0.44727615,-0.082286654,-0.794318413,0.434055895,0.495196819,-0.500241756,stretching
1.73e+18,4.607272217,0.457950981,0.154169402,-1.262051441,0.365606248,0.51879859,-0.510620832,stretching
1.73e+18,4.617223145,0.211212309,0.337136444,-1.279850571,0.288586557,0.523554683,-0.437226534,stretching
1.73e+18,4.627174072,-0.210323835,0.393491368,-1.027034259,0.209274694,0.593987048,-0.313229263,stretching
1.73e+18,4.637123779,-0.704263537,0.336883346,-0.787870918,0.10314773,0.736054957,-0.181654721,stretching
1.73e+18,4.647074951,-1.005660559,0.433453376,-0.711467769,0.005475938,0.895671666,-0.088468149,stretching
1.73e+18,4.657025879,-1.026211472,0.627695261,-0.496877509,-0.128992915,1.037345052,-0.007292072,stretching
1.73e+18,4.666977051,-1.129344222,0.745136815,-0.734183313,-0.243950278,0.991157532,0.074804857,stretching
1.73e+18,4.676928223,-0.822753138,0.901012436,-0.673722926,-0.389796436,0.906024814,0.113304317,stretching
1.73e+18,4.686878174,-0.345365928,1.110443706,-1.053340302,-0.464555055,0.698295832,0.135884374,stretching
1.73e+18,4.696828857,0.095979079,1.180485795,-0.768539902,-0.441714197,0.423124433,0.163211331,stretching
1.73e+18,4.706780029,0.250660814,0.938029623,-0.285198751,-0.369469881,0.218841121,0.212407142,stretching
1.73e+18,4.716730713,0.035926469,0.450897263,0.035026908,-0.212714881,0.086503595,0.265083134,stretching
